A,B,C,D,E
VIA,FELTRE,19,2652,3
VIA,FELTRE,27,2652,3
VIA,FERRUCCI FRANCESCO,22,7150,8
VIA,FESTA DEL PERDONO,14,327,1
VIA,FESTA DEL PERDONO,1,327,1
VIA,FESTA DEL PERDONO,6,327,1
VIA,FIAMMA GALVANO,4,3079,4
VIA,FIAMMA GALVANO,5,3079,4
VIA,FILODRAMMATICI,2,113,1
VIA,FILZI FABIO,14,1190,2
VIA,FILZI FABIO,15,1190,2
VIA,FILZI FABIO,25,1190,2
VIA,FILZI FABIO,41,1190,2
VIA,FIORAVANTI ARISTIDE,28,7236,8
VIA,FIORI CHIARI,8,135,1
VIA,F.LLI ANTONA TRAVERSI,6,7354,8
VIA,F.LLI BRONZETTI,26,3089,4
VIA,F.LLI BRONZETTI,3,3089,4
VIA,F.LLI FRASCHINI,2,4355,5
VIA,F.LLI GRUBICY DE DRAGON,4,7077,1
VIA,F.LLI RUFFINI,11,6163,1
VIA,FOGAZZARO ANTONIO,9,3187,4
VIA,FOLDI CARLO,1,3032,4
VIA,FONTANA,3,3058,1
VIA,FOPPA VINCENZO,33,6109,6
VIA,FORMENTINI MARCO,5,133,1
VIA,FORNARI PASQUALE,44,6592,7
VIA,FORNI GEROLAMO,72,1677,9
VIA,FOSCOLO UGO,4,205,1
VIA,FRA' CRISTOFORO,1,5413,5
VIA,FREIKOFEL,14,4367,4
VIA,FUMAGALLI ANGELO CARLO,6,5149,6
VIA,GADAMES,85,7423,8
VIA,GAGGIA PIETRO,3,4187,4
VIA,GALILEI GALILEO,5,1102,9
VIA,GALLARATE,211,7420,8
VIA,GALLARATE,224,7420,8
VIA,GALLARATE,94,7420,8
VIA,GALLINA GIACINTO,12,3105,3
VIA,GARIGLIANO,3,1134,9
VIA,GARIGLIANO,6,1134,9
VIA,GASPAROTTO LEOPOLDO,1,1205,2
VIA,GENTILE GIOVANNI,3,7602,8
VIA,GENTILE GIOVANNI,3,7602,8
VIA,GENTILE GIOVANNI,3,7602,8
VIA,GIACOMO PINAROLI,3,3386,4
VIA,GIACOMO PINAROLI,3,3386,4
VIA,GIACOSA GIUSEPPE,53,2310,2
VIA,GIAMBELLINO,10,5136,6
VIA,GIAMBELLINO,15,5136,6
VIA,GIAMBELLINO,40,5136,6
VIA,GIAMBELLINO,64,5136,6
VIA,GIAMBELLINO,84,5136,6
ALZ,NAVIGLIO PAVESE,6,5161,6
VIA,GIAMPIETRINO,1,7333,9
VIA,GIARDINO GAETANO,4,343,1
VIA,GIGANTE GIACINTO,2,6562,7
VIA,GIOIA MELCHIORRE,73,1108,2
VIA,GIOIA MELCHIORRE,82,1108,2
VIA,GIOVANNI DA PROCIDA,20,7151,8
VIA,GIOVANNI DA PROCIDA,8,7151,8
VIA,GIOVIO PAOLO,30,6194,7
VIA,GOLDONI CARLO,3,3183,3
VIA,GOLFO DEGLI ARANCI,12,2463,2
VIA,GONIN FRANCESCO,71,5376,6
VIA,GOVONE GIUSEPPE,18,7222,8
VIA,GOVONE GIUSEPPE,39,7222,8
VIA,GOVONE GIUSEPPE,42,7222,8
VIA,GOVONE GIUSEPPE,67,7222,8
VIA,GOVONE GIUSEPPE,68,7222,8
VIA,GOZZI GASPARE,6,3104,3
VIA,GRAZIOLI DON BARTOLOMEO,57,1473,9
VIA,GRIGNA,22,7239,8
VIA,GROSOTTO,7,7328,8
VIA,GROSOTTO,7,7328,8
VIA,GROSSICH ANTONIO,11,2576,3
VIA,GROSSICH ANTONIO,2,2576,3
VIA,GUICCIARDINI FRANCESCO,5,3084,4
VIA,HAYEZ FRANCESCO,13,2172,3
VIA,HOEPLI ULRICO,3,190,1
VIA,HUGO VICTOR,3,548,1
VIA,IMBONATI CARLO,12,1311,9
VIA,IMBONATI CARLO,13,1311,9
VIA,IMBONATI CARLO,20,1311,9
VIA,IMBONATI CARLO,20,1311,9
VIA,IMBONATI CARLO,23,1311,9
VIA,IMBONATI CARLO,24,1311,9
VIA,IMBONATI CARLO,3,1311,9
VIA,IMBONATI CARLO,43,1311,9
VIA,IMBONATI CARLO,60,1311,9
VIA,IMBONATI CARLO,6,1311,9
VIA,IMBONATI CARLO,6,1311,9
VIA,IMBONATI CARLO,89,1311,9
VIA,IMPERIA,13,5266,5
VIA,INGANNI ANGELO,48,6672,6
VIA,JACOPO DAL VERME,11,1130,9
VIA,JACOPO DAL VERME,16,1130,9
VIA,LA MALFA UGO,12,2628,2
VIA,LAMARMORA ALFONSO,19,4103,1
VIA,LAMBRUSCHINI RAFFAELE,27,7271,9
VIA,LAMBRUSCHINI RAFFAELE,31,7271,9
VIA,BRIOSCHI FRANCESCO,41,5243,5
VIA,LANZONE,27,554,1
VIA,LANZONE,27,554,1
VIA,LANZONE,3,554,1
VIA,LECCO,12,2110,3
VIA,LECCO,12,2110,3
VIA,LECCO,15,2110,3
VIA,LECCO,6,2110,3
VIA,LEGNONE,20,1298,9
VIA,LEGNONE,73,1298,9
VIA,LEONCAVALLO RUGGERO,25,2389,2
VIA,LEPETIT ROBERTO,20,2096,2
VIA,MURAT GIOACCHINO,2,1316,9
VIA,LODOVICO IL MORO,159,5290,6
VIA,LODOVICO IL MORO,3,5290,6
VIA,LODOVICO IL MORO,93,5290,6
